id,name,birthdate,deathdate
1963,Dean Parisot,,
1964,Dean Stockwell,3/5/1936,
1965,Dean Wright,,
1966,Deb Hagan,,
1967,Debbie Harry,7/1/1945,
1968,Debbie Reynolds,4/1/1932,12/28/2016
1969,Debi Derryberry,9/27/1960,
1970,Debi Mazar,8/13/1964,
1971,Deborah Anderson,,
1972,Deborah Foreman,10/12/1962,
1973,Deborah Kara Unger,5/12/1966,
1974,Deborah Kerr,9/30/1921,10/16/2007
1975,Deborah Mailman,7/14/1972,
1976,Déborah Révy,,
1977,Deborah Twiss,12/22/1971,
1978,Deborra-Lee Furness,12/8/1955,
1979,Debra Granik,2/6/1963,
1980,Debra Lynn Hull,,
1981,Debra Messing,8/15/1968,
1982,Debra Monk,2/27/1949,
1983,Debra Paget,8/19/1933,
1984,Debra Winger,5/16/1955,
1985,Debrah Farentino,9/30/1959,
1986,Debrianna Mansini,,
1987,Dee Bradley Baker,8/31/1962,
1988,Dee Wallace,12/14/1948,
1989,Deems Taylor,1885-12-22,7/3/1966
1990,Deepa Mehta,1/1/1950,
1991,DeForest Kelley,1/20/1920,6/11/1999
1992,Deirdre Lorenz,,
1993,Del Zamora,,
1994,Dell Yount,,
1995,Della Reese,7/6/1931,
1996,Delphine Chanéac,11/14/1978,
1997,Delroy Lindo,11/18/1952,
1998,Demetri Martin,5/25/1973,
1999,Demetrius Grosse,2/26/1981,
2000,Demi Moore,11/11/1962,
2001,Demián Bichir,8/1/1963,
2002,Demian Lichtenstein,,
2003,Dena Seidel,,
2004,Denden,1/23/1950,
2005,Dendrie Taylor,,
2006,Deneen Tyler,,
2007,Denholm Elliott,5/31/1922,10/6/1992
2008,Denis Lavant,6/17/1961,
2009,Denis Leary,8/18/1957,
2010,Denis O'Hare,1/17/1962,
2011,Denis Villeneuve,10/3/1967,
2012,Denise Boutte,1/19/1982,
2013,Denise Crosby,11/24/1957,
2014,Dennie Gordon,5/9/1953,
2015,Dennis Burkley,9/10/1945,7/14/2013
2016,Dennis Dugan,9/5/1946,
2017,Dennis Franz,10/28/1944,
2018,Dennis Gansel,10/4/1973,
2019,Dennis Hopper,5/17/1936,5/29/2010
2020,Dennis Iliadis,,
2021,Dennis L.A. White,,
2022,Dennis Quaid,4/9/1954,
2023,Denny Kirkwood,3/20/1975,
2024,Denys Arcand,6/25/1941,
2025,Denzel Washington,12/28/1954,
2026,Deon Richmond,4/2/1978,
2027,Deon Taylor,,
2028,Dequina Moore,,
2029,DeRay Davis,,
2030,Derek Brandon,,
2031,Derek Cianfrance,1/23/1974,
2032,Derek Graf,,
2033,Derek Jacobi,10/22/1938,
2034,Derek Jeter,5/27/1926,9/14/2006
2035,Derek Luke,4/24/1974,
2036,Derek Magyar,,
2037,Derek Mears,4/29/1972,
2038,Derek Wayne Johnson,2/23/1983,
2039,Derick Martini,12/2/1972,
2040,Dermot Crowley,3/19/1947,
2041,Derrick Borte,12/7/1967,
2042,Deryck Broom,,
2043,Des McAnuff,6/19/1952,
2044,Desmond Askew,12/17/1972,
2045,Desmond Llewelyn,9/12/1914,12/19/1999
2046,DeVaughn Nixon,,
2047,Devid Striesow,10/1/1973,
2048,Devin Ratray,1/11/1977,
2049,Devon Murray,10/28/1988,
2050,DeWayne Warren,,
2051,Dewey Nicks,4/22/1961,
2052,Dexter Fletcher,1/31/1966,
2053,Diahann Carroll,7/17/1935,
2054,Dian Bachar,10/26/1970,
2055,Diana Maria Riva,7/22/1969,
2056,Diana Ross,3/26/1944,
2057,Diana Scarwid,8/27/1955,
2058,Diana Vickers,7/30/1991,
2059,Diane Baker,2/25/1938,
2060,Diane English,,
2061,Diane Keaton,1/5/1946,
2062,Diane Ladd,11/29/1935,
2063,Diane Sorrentino,,
2064,Diane Venora,8/10/1952,
2065,Dianne Wiest,3/28/1948,
2066,Dichen Lachman,2/22/1982,
2067,Dick Cavett,11/19/1936,
2068,Dick Cheney,5/6/1908,1/2/1971
2069,Dick Clark,11/30/1929,4/18/2012
2070,Dick Powell,11/14/1904,1/2/1963
2071,Dick Richards,8/10/1912,3/17/1967
2072,Dick Van Patten,12/9/1928,6/23/2015
2073,Dickie Jones,2/25/1927,7/7/2014
2074,Diedrich Bader,12/24/1966,
2075,Diego Ramos,11/29/1972,
2076,Diego Velazquez,,
2077,Diganth,,
2078,Dileep Raj,,
2079,Diljit Dosanjh,,
2080,Dillon Casey,10/29/1983,
2081,Dilshad Vadsaria,9/14/1977,
2082,Dimple Kapadia,6/8/1957,
2083,Dinah Manoff,1/25/1956,
2084,Dinesh D'Souza,4/25/1961,
2085,Diora Baird,4/6/1983,
2086,Dirk Bogarde,3/28/1921,5/8/1999
2087,Dito Montiel,7/26/1965,
2088,Divine,10/19/1945,3/7/1988
2089,DJ Pooh,,
2090,Djimon Hounsou,4/24/1964,
2091,DMX,,
2092,Dolly Parton,1/19/1946,
2093,Dom DeLuise,8/1/1933,5/4/2009
2094,Domenick Lombardozzi,3/25/1976,
2095,Dominic Burns,,
2096,Dominic Colón,,
2097,Dominic Cooper,6/2/1978,
2098,Dominic Flores,,
2099,Dominic Monaghan,12/8/1976,
2100,Dominic Sena,4/26/1949,
2101,Dominick Brascia,,
2102,Dominik Castell,7/20/1965,
2103,Dominik García-Lorido,8/16/1983,
2104,Dominique McElligott,5/3/1986,
2105,Dominique Othenin-Girard,2/13/1958,
2106,Dominique Sanda,3/11/1948,
2107,Don Ameche,5/31/1908,12/6/1993
2108,Don Bluth,9/13/1937,
2109,Don Brooks,,10/25/2000
2110,Don Cheadle,11/29/1964,
2111,Don Coscarelli,2/17/1954,
2112,Don Francks,2/28/1932,4/3/2016
2113,Don Gordon,9/29/1938,2/28/2016
2114,Don Hall,,
2115,Don Johnson,12/15/1949,
2116,Don Kempf,,
2117,Don Mancini,1/25/1963,
2118,Don McKellar,8/17/1963,
2119,Don McManus,11/8/1959,
2120,Don Michael Paul,4/17/1963,
2121,Don Pardo,12/17/1959,
2122,Don Rickles,5/8/1926,
2123,Don Scardino,2/17/1949,
2124,Don Siegel,10/26/1912,4/20/1991
2125,Don Stark,7/5/1954,
2126,Don Taylor,12/13/1920,12/29/1998
2127,Don Wallace,,
2128,Donald Austin,,
2129,Donald Faison,6/22/1974,
2130,Donald Gibb,8/4/1954,
2131,Donald Glover,9/25/1983,
2132,Donald Petrie,4/2/1954,
2133,Donald Pleasence,10/5/1919,2/2/1995
2134,Donald Rumsfeld,7/9/1932,
2135,Donald Sumpter,2/13/1943,
2136,Donald Trump,6/14/1946,
2137,Donald Watkins,,
2138,Donatas Banionis,4/28/1924,9/4/2014
2139,Dong-gun Jang,3/7/1972,
2140,Donna Murphy,3/7/1959,
2141,Donna Reed,1/27/1921,1/14/1986
2142,Donna Zovko,,
2143,Donnie Dunagan,8/16/1934,
2144,Donny Alamsyah,12/7/1978,
2145,Donny Boaz,,
2146,Donovan Scott,,
2147,Doona Bae,10/11/1979,
2148,Dorian Missick,1/15/1976,
2149,Dororthy Thorton,,
2150,Dorothy Lamour,12/10/1914,9/22/1996
2151,Dorothy Lyman,4/18/1947,
2152,Dottie Alexander,,
2153,Doug Atchison,,
2154,Doug Block,,
2155,Doug Bradley,9/7/1954,
2156,Doug Cockle,9/16/1970,
2157,Doug E. Doug,4/6/1968,
2158,Doug Lefler,,
2159,Doug Liman,7/24/1965,
2160,Douglas Aarniokoski,,
2161,Douglas Cheek,,
2162,Douglas Haase,,
2163,Douglas McGrath,2/2/1958,
2164,Douglas Smith,8/4/1966,
2165,Douglas Trumbull,4/8/1942,
2166,Dougray Scott,11/25/1965,
2167,Dov Tiefenbach,12/8/1981,
2168,Dove Cameron,1/15/1996,
2169,Dr. Dre,2/18/1965,
2170,Drake,10/24/1986,
2171,Drake Bell,6/27/1986,
2172,Drake Doremus,3/29/1983,
2173,Drea de Matteo,1/19/1972,
2174,Dreama Walker,6/20/1986,
2175,Dree Hemingway,12/4/1987,
2176,Drew Barrymore,2/22/1975,
2177,Drew Carey,5/23/1958,
2178,Drew Fuller,5/19/1980,
2179,Drew Goddard,2/26/1975,
2180,Drew Powell,1/19/1976,
2181,Drew Sidora,5/1/1985,
2182,Drew Waters,8/20/1973,
2183,Dror Moreh,,
2184,Duane Jones,2/2/1937,7/22/1988
2185,Duane Journey,,
2186,Duke Johnson,3/20/1979,
2187,Dulé Hill,,
2188,Duncan Jones,5/30/1971,
2189,Duncan Tucker,,
2190,Dustin Diamond,1/7/1977,
2191,Dustin Fitzsimons,12/19/1986,
2192,Dustin Hoffman,8/8/1937,
2193,Dustin Ingram,1/25/1990,
2194,Dustin Lance Black,6/10/1974,
2195,Dustin Milligan,7/28/1985,
2196,Dustin Nguyen,9/17/1962,
2197,Dwayne Johnson,5/2/1972,
2198,Dwight H. Little,1/13/1956,
2199,Dwight Henry,,
2200,Dwight Yoakam,10/23/1956,
2201,Dyan Cannon,1/4/1937,
2202,Dylan Authors,,
2203,Dylan Baker,10/7/1959,
2204,Dylan Bank,,
2205,Dylan Kussman,,
2206,Dylan Minnette,12/29/1996,
2207,Dylan Moran,11/3/1971,
2208,Dylan Schombing,,
2209,Dylan Walsh,11/17/1963,
2210,E. Elias Merhige,,
2211,E.L. Katz,1/7/1981,
2212,Eamonn Walker,6/12/1962,
2213,Earl Cameron,8/8/1917,
2214,Eartha Kitt,1/17/1927,12/25/2008
2215,Ebon Moss-Bachrach,8/17/1978,
2216,Ed Begley Jr.,9/16/1949,
2217,Ed Decter,,
2218,Ed Gass-Donnelly,8/17/1977,
2219,Ed Harris,11/28/1950,
2220,Ed Lauter,10/30/1938,10/16/2013
2221,Ed Quinn,2/26/1968,
2222,Ed Skrein,3/29/1983,
2223,Ed Speleers,4/7/1988,
2224,Ed Stoppard,9/16/1974,
2225,Ed Wynn,1886-11-09,6/19/1966
2226,Eddie 'Piolin' Sotelo,,
2227,Eddie Albert,4/22/1906,5/26/2005
2228,Eddie Baroo,9/25/1968,
2229,Eddie Cahill,1/15/1978,
2230,Eddie Cibrian,6/16/1973,
2231,Eddie Deezen,3/6/1957,
2232,Eddie Griffin,7/15/1968,
2233,Eddie Izzard,2/7/1962,
2234,Eddie Jemison,,
2235,Eddie Jones,,
2236,Eddie Kaye Thomas,10/31/1980,
2237,Eddie Marsan,6/9/1968,
2238,Eddie O'Flaherty,3/15/1968,
2239,Eddie Peng,3/24/1982,
2240,Eddie Redmayne,1/6/1982,
2241,Eddie Rouse,7/2/1954,12/7/2014
2242,Eddie Spears,11/29/1982,
2243,Eddie Vedder,12/23/1964,
2244,Eden Riegel,1/1/1981,
2245,Edgar Arreola,,
2246,Edgar Buchanan,3/20/1903,4/4/1979
2247,Edgar Ramírez,3/25/1977,
2248,Edgar Tancangco,,
2249,Edgar Wright,4/18/1974,
2250,Edi Gathegi,3/10/1979,
2251,Edie Falco,7/5/1963,
2252,Edith Massey,5/28/1918,10/24/1984
2253,Edmund McMillen,,
2254,Edouard Baer,12/1/1966,
2255,Eduard Fernández,8/25/1964,
2256,Eduardo Noriega,8/1/1973,
2257,Eduardo Verástegui,5/21/1974,
2258,Edward Andrews,,
2259,Edward Burns,,
2260,Edward Conna,6/19/1968,
2261,Edward Dmytryk,9/4/1908,7/1/1999
2262,Edward Everett Horton,1886-03-18,9/29/1970
2263,Edward Fox,4/13/1937,
2264,Edward Hall,,
2265,Edward Norton,8/18/1969,
2266,Edward Zwick,10/8/1952,
2267,Edwin Hodge,1/26/1985,
2268,Edwin Neal,7/12/1945,
2269,Efram Potelle,,
2270,Eileen Brennan,9/3/1932,7/28/2013
2271,Eion Bailey,6/8/1976,
2272,Ejner Federspiel,1896-08-12,11/24/1981
2273,Ekachai Uekrongtham,,
2274,Elaine Bromka,1/6/1950,
2275,Elaine Cassidy,12/31/1979,
2276,Elaine Hendrix,12/28/1970,
2277,Elaine May,4/21/1932,
2278,Elaine Stritch,2/2/1925,7/17/2014
2279,Eldar Rapaport,,
2280,Elden Henson,8/30/1977,
2281,Elea Oberon,,
2282,Eleanor Bron,3/14/1938,
2283,Eleanor Parker,6/26/1922,12/9/2013
2284,Elena Anaya,7/17/1975,
2285,Elena Lyadova,12/25/1980,
2286,Elena Satine,11/24/1987,
2287,Eli Craig,5/25/1972,
2288,Eli Marienthal,3/6/1986,
2289,Eli Roth,4/18/1972,
2290,Elia Kazan,9/7/1909,9/28/2003
2291,Elijah Kelley,8/1/1986,
2292,Elina Abai Kyzy,,
2293,Elina Alminas,,
2294,Elio Germano,9/25/1980,
2295,Elisa Donovan,2/3/1971,
2296,Elisabeth Harnois,5/26/1979,
2297,Elise Muller,8/15/1967,
2298,Elise Neal,3/14/1966,
2299,Elissa Dowling,,
2300,Eliza Coupe,4/6/1981,
2301,Elizabeth Allen Rosenbaum,,
2302,Elizabeth Banks,2/10/1974,
2303,Elizabeth Berkley,7/28/1972,
2304,Elizabeth Berrington,8/3/1970,
2305,Elizabeth Blackmore,,
2306,Elizabeth Daily,9/11/1961,
2307,Elizabeth Debicki,,
2308,Elizabeth MacRae,2/22/1936,
2309,Elizabeth McGovern,7/18/1961,
2310,Elizabeth Meriwether,,
2311,Elizabeth Perkins,11/18/1960,
2312,Elizabeth Stenholt,,
2313,Elizabeth Streb,,
2314,Ella Joyce,6/12/1954,
2315,Ella Wahlestedt,8/1/1998,
2316,Ellar Coltrane,8/27/1994,
2317,Ellen Albertini Dow,11/16/1913,5/4/2015
2318,Ellen Barkin,4/16/1954,
2319,Ellen Block,,
2320,Ellen Burstyn,12/7/1932,
2321,Ellen Ross,10/25/1928,
2322,Ellen Sandweiss,12/30/1958,
2323,Ellen Wong,,
2324,Ellia Thompson,,
2325,Ellie Cornell,12/15/1963,
2326,Ellie Kendrick,6/6/1990,
2327,Elliott Gould,8/29/1938,
2328,Ellory Elkayem,8/12/1970,
2329,Elodie Yung,2/22/1981,
2330,Elpidia Carrillo,8/16/1961,
2331,Elsa Lanchester,10/28/1902,12/26/1986
2332,Elton John,3/25/1947,
2333,Elvis Nolasco,,
2334,Elvis Tsui,10/10/1960,
2335,Elyas M'Barek,5/29/1982,
2336,Embeth Davidtz,8/11/1965,
2337,Eme Ikwuakor,,
2338,Emile Ardolino,5/9/1943,11/20/1993
2339,Émile Gaudreault,,
2340,Emilia Clarke,10/23/1986,
2341,Emilia Fox,7/31/1974,
2342,Émilie Dequenne,8/29/1981,
2343,Emilio Estefan Jr.,3/4/1953,
2344,Emilio Estevez,5/12/1962,
2345,Emily Alyn Lind,,
2346,Emily Baldoni,8/3/1984,
2347,Emily Dell,,
2348,Emily Gorell,,
2349,Emily Meade,1/10/1989,
2350,Emily Nelson,,
2351,Emily Osment,3/10/1992,
2352,Emily Pearson,,
2353,Emily Podleski,5/15/1979,
2354,Emily Ratajkowski,6/7/1991,
2355,Emily Rios,4/27/1989,
2356,Emily Watson,1/14/1967,
2357,Emily Wickersham,4/26/1984,
2358,Emily Young,,
2359,Emir Kusturica,11/24/1954,
2360,Emma Bell,12/17/1986,
2361,Emma Caulfield,4/8/1973,
2362,Emma de Caunes,9/9/1976,
2363,Emma Eliza Regan,,
2364,Emma Kenney,9/14/1999,
2365,Emma Lung,,
2366,Emma Stone,11/6/1988,
2367,Emma Watson,4/15/1990,
2368,Emma-Kate Croghan,,
2369,Emmanuel Kabongo,12/25/1986,
2370,Emmanuelle Béart,8/14/1963,
2371,Emmanuelle Bercot,11/6/1967,
2372,Emmanuelle Riva,2/24/1927,1/27/2017
2373,Emmanuelle Seigner,6/22/1966,
2374,Emmanuelle Vaugier,6/23/1976,
2375,Emraan Hashmi,3/24/1979,
2376,Enrico Colantoni,2/14/1963,
2377,Enrique Begne,,
2378,Enrique Iglesias,5/8/1975,
2379,Enrique Murciano,7/9/1973,
2380,Enrique Villén,,
2381,Enzo Petito,1897-07-24,7/17/1967
2382,Eoin Macken,4/15/1987,
2383,Eric Ambriz,,
2384,Eric Blakeney,9/14/1959,
2385,Eric Blore,1887-12-23,3/2/1959
2386,Eric Bress,3/25/1962,
2387,Eric Brevig,,
2388,Eric Bross,1/21/1964,
2389,Eric Bugbee,,
2390,Eric Cantona,5/24/1966,
2391,Eric Christmas,3/19/1916,7/22/2000
2392,Eric Dane,11/9/1972,
2393,Eric Darnell,,
2394,Eric Eason,,
2395,Eric Elmosnino,5/2/1964,
2396,Eric England,2/23/1988,
2397,Eric Godon,2/7/1959,
2398,Eric Idle,3/29/1943,
2399,Eric Jacobson,7/25/1970,
2400,Eric Johnson,4/28/1974,
2401,Eric Lange,2/19/1973,
2402,Eric Lartigau,,
2403,Eric Lavaine,,
2404,Eric Leighton,11/6/1962,
2405,Eric Lloyd,5/19/1986,
2406,Eric Mabius,4/22/1971,
2407,Eric McCormack,4/18/1963,
2408,Eric Mendelsohn,11/1/1964,
2409,Eric Mendenhall,,
2410,Eric Nicholas,,
2411,Eric Peterson,10/2/1946,
2412,Eric Schaeffer,1/22/1962,
2413,Eric Schlosser,8/17/1959,
2414,Eric Schweig,6/19/1967,
2415,Eric Sheffer Stevens,6/19/1972,
2416,Eric Stoltz,9/30/1961,
2417,Eric Stonestreet,9/9/1971,
2418,Eric Stuart,10/18/1967,
2419,Eric Styles,,
2420,Eric Sykes,5/4/1923,7/4/2012
2421,Éric Tessier,1883-05-28,6/1/1973
2422,Eric Valette,,
2423,Eric Winter,7/17/1976,
2424,Eric Worre,,
2425,Erica Leerhsen,2/14/1976,
2426,Erica Linz,,
2427,Erick Avari,4/13/1952,
2428,Erick Elias,6/23/1980,
2429,Ericson Core,,
2430,Erik Canuel,,
2431,Erik Estrada,3/16/1949,
2432,Erik Knudsen,3/25/1988,
2433,Erik Palladino,5/10/1968,
2434,Erik Per Sullivan,7/12/1991,
2435,Erik White,,
2436,Erika Christensen,8/19/1982,
2437,Erin Bethea,8/12/1982,
2438,Erin Boyes,,
2439,Erin Cipolletti,,
2440,Erin Daniels,10/9/1972,
2441,Erin Fitzgerald,9/21/1972,
2442,Erin Gray,1/7/1950,
2443,Erin O'Brien,1/31/1975,
2444,Erin Pitt,,
2445,Erin Wasson,1/20/1982,
2446,Erland Josephson,6/15/1923,2/25/2012
2447,Ernest R. Dickerson,6/25/1951,
2448,Ernie Barbarash,,
2449,Ernie Reyes Jr.,1/15/1972,
2450,Eros Vlahos,1/13/1995,
2451,Errol Flynn,6/20/1909,10/14/1959
2452,Errol Morris,2/5/1948,
2453,Esai Morales,10/1/1962,
2454,Essence Atkins,2/7/1972,
2455,Essie Davis,,
2456,Estella Warren,12/23/1978,
2457,Estelle Parsons,11/20/1927,
2458,Esther Williams,8/8/1921,6/6/2013
2459,Etan Cohen,,
2460,Ethan Coen,9/21/1957,
2461,Ethan Embry,6/13/1978,
2462,Ethan Maniquis,,
2463,Ethan Peck,3/2/1986,
2464,Ethan Stiefel,,
2465,Ethan Suplee,5/25/1976,
2466,Étienne Faure,,
2467,Eugène Lourié,4/8/1903,5/26/1991
2468,Eugene Roche,9/22/1928,7/28/2004
2469,Eugenia Khirivskaya,9/3/1981,
2470,Eugenie Bondurant,4/27/1961,
2471,Eugenio Derbez,9/2/1962,
2472,Eva Amurri Martino,3/15/1985,
2473,Eva Birthistle,,
2474,Eva Boehnke,,
2475,Eva Bourne,,
2476,Eva Carrozza,,
2477,Eva Green,7/6/1980,
2478,Eva LaRue,12/27/1966,
2479,Eva Marcille,10/30/1984,
2480,Eva Marie Saint,7/4/1924,
2481,Evan Goldberg,,
2482,Evan Jones,,
2483,Evan McGuire,,
2484,Evan Parke,1/2/1968,
2485,Evan Ross,8/26/1988,
2486,Eve,11/10/1978,
2487,Eve Ensler,5/25/1953,
2488,Eve Plumb,4/29/1958,
2489,Evelyn Jefferson,,
2490,Everett McGill,10/21/1945,
2491,Everett Sloane,10/1/1909,8/6/1965
2492,Evgeniy Mironov,11/29/1966,
2493,Ewen Bremner,1/23/1972,
2494,Ewen Solon,9/7/1917,7/7/1985
2495,Exie Booker,,
2496,Eytan Fox,8/21/1964,
2497,Ezra Miller,9/30/1992,
2498,F. Gary Gray,7/17/1969,
2499,F. Murray Abraham,10/24/1939,
2500,Fabián Bielinsky,2/3/1959,6/28/2006
2501,Fabian Bolin,,
2502,Fabio Testi,8/2/1941,
2503,Fabrice Luchini,11/1/1951,
2504,Facundo Lombard,,
2505,Fadia Nadda,,
2506,Faizon Love,6/14/1968,
2507,Fana Mokoena,5/13/1971,
2508,Fann Wong,1/27/1971,
2509,Fanny Ardant,3/22/1949,
2510,Fares Fares,4/29/1973,
2511,Farrah Fawcett,2/2/1947,6/25/2009
2512,Fatih Akin,8/25/1973,
2513,Fay Masterson,4/15/1974,
2514,Faye Dunaway,1/14/1941,
2515,Fede Alvarez,2/9/1978,
2516,Fedja van Huêt,6/21/1973,
2517,Fedor Bondarchuk,5/9/1967,
2518,Felicia Pearson,5/18/1980,
2519,Felicity Huffman,12/9/1962,
2520,Felix Avitia,10/3/2002,
2521,Félix Moati,8/4/1989,
2522,Fenella Woolgar,8/4/1969,
2523,Fenton Bailey,,
2524,Ferdinando Vetere,,
2525,Fereshteh Sadre Orafaiy,,
2526,Fergie,3/27/1975,
2527,Fernanda Andrade,,
2528,Fernanda Machado,10/10/1980,
2529,Fernanda Montenegro,10/16/1929,
2530,Fernanda Torres,9/14/1965,
2531,Fernando Baez Mella,,
2532,Fernando Cayo,4/22/1968,
2533,Fernando León de Aranoa,5/26/1968,
2534,Fernando Meirelles,11/9/1955,
2535,Fernando Rey,9/20/1917,3/9/1994
2536,Feroz Abbas Khan,,
2537,Ferzan Ozpetek,2/3/1959,
2538,Filippo Timi,2/27/1974,
2539,Fina Torres,4/25/1969,
2540,Finlay Currie,1878-01-20,5/9/1968
2541,Finn Ireland,,
2542,Finn Taylor,7/4/1958,
2543,Finn Wittrock,10/28/1984,
2544,Finola Hughes,10/29/1959,
2545,Fiona Dourif,10/30/1981,
2546,Fiona Glascott,11/22/1982,
2547,Fiona Shaw,7/10/1958,
2548,Fionnula Flanagan,12/10/1941,
2549,Firass Dirani,4/29/1984,
2550,Fisher Stevens,11/27/1963,
2551,Flaco Navaja,,
2552,Flavio Parenti,,
2553,Flea,10/16/1962,
2554,Flint Beverage,,
2555,Florence Ayisi,,
2556,Florence Henderson,2/14/1934,11/24/2016
2557,Florent-Emilio Siri,3/2/1965,
2558,Floria Sigismondi,,
2559,Florian Henckel von Donnersmarck,5/2/1973,
2560,Florian Lukas,3/16/1973,
2561,Floyd Mutrux,6/25/1941,
2562,Forest Whitaker,7/15/1961,
2563,Forrest Tucker,2/12/1919,10/25/1986
2564,Fran Drescher,9/30/1957,
2565,Fran Kranz,7/13/1981,
2566,Frances Bavier,12/14/1902,12/6/1989
2567,Frances Bay,1/23/1919,9/15/2011
2568,Frances Conroy,11/13/1953,
2569,Frances Fisher,10/21/1956,12/27/2016
2570,Frances Lee McCain,7/28/1944,
2571,Frances O'Connor,6/12/1967,
2572,Francesc Pagès,,
2573,Francesca Capaldi,,
2574,Francesca Gregorini,8/7/1968,
2575,Francesca Rettondini,3/7/1971,
2576,Francine Blake,,
2577,Francis Capra,4/27/1983,
2578,Francis Ford Coppola,4/7/1939,
2579,Francis Lawrence,11/7/1951,
2580,Francis Lederer,1899-11-06,5/25/2000
2581,Franck Khalfoun,,
2582,Franco Nero,11/23/1941,
2583,Franco Zeffirelli,2/12/1923,
2584,François Bégaudeau,,
2585,François Berléand,4/22/1952,
2586,François Chau,10/26/1959,
2587,François Cluzet,9/21/1955,
2588,François Damiens,1/17/1973,
2589,François Girard,1/12/1963,
2590,François Ozon,11/15/1967,
2591,François Truffaut,2/6/1932,10/21/1984
2592,Françoise Yip,9/4/1972,
2593,Frank Borzage,1894-04-23,6/19/1962
2594,Frank Capra,1897-05-18,9/3/1991
2595,Frank Coraci,2/3/1966,
2596,Frank Darabont,1/28/1959,
2597,Frank Dillane,4/21/1991,
2598,Frank Faylen,12/8/1905,8/2/1985
2599,Frank Finlay,8/6/1926,1/30/2016
2600,Frank Gerrish,3/14/1963,
2601,Frank Grillo,6/8/1965,
2602,Frank Hvam,9/12/1970,
2603,Frank LaLoggia,1/12/1954,
2604,Frank Langella,1/1/1938,
2605,Frank Lotito,,
2606,Frank Marshall,9/13/1946,
2607,Frank McHugh,1898-05-23,9/11/1981
2608,Frank Miller,1/27/1957,
2609,Frank Nissen,,
2610,Frank Oz,5/25/1944,
2611,Frank Perry,8/21/1930,8/29/1995
2612,Frank Rautenbach,5/12/1972,
2613,Frank Sebastiano,,
2614,Frank Vincent,8/4/1939,
2615,Frank Welker,3/12/1946,
2616,Frank Whaley,7/20/1963,
2617,Frankie Muniz,12/5/1985,
2618,Frankie Valli,5/3/1934,
2619,Franklin J. Schaffner,5/30/1920,7/2/1989
2620,Franky G,10/30/1965,
2621,Fred Armisen,12/4/1966,
2622,Fred Dekker,4/9/1959,
2623,Fred Durst,8/20/1970,
2624,Fred Gwynne,7/10/1926,7/2/1993
2625,Fred MacMurray,8/30/1908,11/5/1991
2626,Fred Malatesta,1889-04-18,4/8/1952
2627,Fred Melamed,5/13/1956,
2628,Fred Rogers,3/20/1928,2/27/2003
2629,Fred Savage,7/9/1976,
2630,Fred Schepisi,12/26/1939,
2631,Fred Tatasciore,,
2632,Fred Walton,,
2633,Fred Ward,12/30/1942,
2634,Fred Willard,9/18/1939,
2635,Fred Williamson,3/5/1938,
2636,Fred Wolf,9/13/1932,
2637,Fred Zinnemann,4/29/1907,3/14/1997
2638,Freddie Jones,9/12/1927,
2639,Freddy Rodríguez,1/17/1975,
2640,Frédéric Auburtin,6/4/1962,
2641,Frédéric Forestier,,
2642,Frederic Forrest,12/23/1936,
2643,Frederick Weller,6/24/1947,
2644,Frederik Du Chau,5/15/1965,
2645,Fredro Starr,4/18/1971,
2646,French Stewart,2/20/1964,
2647,Frida Hallgren,12/16/1974,
2648,Fritz Kortner,1892-05-12,7/22/1970
2649,Fritz Lang,1890-12-05,8/2/1976
2650,G.J. Echternkamp,,
2651,G.W. Bailey,8/27/1944,
2652,G.W. Krauss,,
2653,Gabe Ibáñez,6/7/1971,
2654,Gabor Csupo,9/29/1952,
2655,Gabourey Sidibe,5/6/1983,
2656,Gabriel Almirón,,
2657,Gabriel Bateman,,
2658,Gabriel Beristain,5/9/1955,
2659,Gabriel Damon,4/23/1976,
2660,Gabriel Hogan,,
2661,Gabriel Iglesias,7/15/1976,
2662,Gabriel Millman,2/7/1986,
2663,Gabriel Reyes,,
2664,Gabriel Thomson,10/27/1986,
2665,Gabriela Castillo,,
2666,Gabriela Tagliavini,12/29/1968,
2667,Gabriele Muccino,5/20/1967,
2668,Gabrielle Carteris,1/2/1961,
2669,Gabrielle Reece,1/6/1970,
2670,Gaby Hoffmann,1/8/1982,
2671,Gael Le Cornec,,
2672,Gage Golightly,9/5/1993,
2673,Gaia Weiss,8/30/1991,
2674,Gale Sondergaard,1899-02-15,8/14/1985
2675,Gano Grills,,
2676,Garba Touré,,
2677,Garcelle Beauvais,11/26/1966,
2678,Gareth Edwards,,
2679,Gareth Evans,,
2680,Garrett Clayton,,
2681,Garrett M. Brown,11/7/1948,
2682,Garrett Morris,2/1/1937,
2683,Garrett Ryan,,
2684,Garrick Hagon,9/27/1939,
2685,Garry Cooper,5/7/1901,5/13/1961
2686,Garry Marshall,11/13/1934,7/19/2016
2687,Garry Shandling,11/29/1949,3/24/2016
2688,Garth Jennings,,
2689,Garvin Cross,,
2690,Gary Chapman,,
2691,Gary Cole,9/20/1956,
2692,Gary Coleman,2/8/1968,5/28/2010
2693,Gary Cooper,5/7/1901,5/13/1961
2694,Gary Daniels,5/9/1963,
2695,Gary David Goldberg,6/25/1944,6/22/2013
2696,Gary Dourdan,12/11/1966,
2697,Gary Farmer,6/12/1953,
2698,Gary Fleder,12/19/1965,
2699,Gary Halvorson,,
2700,Gary Hardwick,,
